time,ax,ay,az,atotal
2.216,1.00,-0.58,3.00,3.22
2.226,0.66,-0.19,1.27,1.45
2.236,0.41,0.01,-0.04,0.42
2.246,-0.21,-0.10,-0.48,0.53
2.256,-0.89,0.01,-1.01,1.34
2.266,-1.78,-0.34,-1.62,2.43
2.276,-1.52,-0.35,-1.72,2.33
2.286,-0.56,-0.35,-1.07,1.26
2.296,-0.04,-0.18,-0.11,0.22
2.306,0.41,0.13,0.87,0.97
2.316,0.64,0.31,1.19,1.38
2.326,0.42,0.46,-0.04,0.62
2.336,0.32,0.57,-0.68,0.95
2.346,0.46,0.50,-0.58,0.89
2.356,0.27,0.11,0.26,0.39
2.366,-0.09,-0.17,0.79,0.82
2.376,-0.40,0.05,0.52,0.65
2.386,-0.41,0.65,-0.42,0.88
2.396,0.08,0.54,-0.45,0.71
2.406,0.27,-0.09,-0.43,0.52
2.416,-0.16,-0.33,-0.89,0.96
2.426,-0.16,-0.90,-1.07,1.41
2.436,-0.33,-1.39,-1.07,1.79
2.446,-0.01,-1.45,-0.87,1.69
2.456,0.44,-1.10,-0.38,1.24
2.466,0.77,-0.73,0.29,1.10
2.476,0.83,-0.73,0.78,1.35
2.486,0.51,-0.88,0.86,1.33
2.496,-0.02,-0.89,0.45,1.00
2.506,-0.30,-0.80,-0.11,0.86
2.516,-0.30,-0.68,-0.49,0.90
2.526,-0.27,-0.61,-0.70,0.97
2.536,-0.05,-0.54,-0.79,0.96
2.546,0.05,-0.51,-0.88,1.02
2.556,-0.01,-0.47,-1.10,1.20
2.566,0.14,-0.34,-0.96,1.03
2.576,0.35,-0.46,-0.72,0.92
2.586,0.59,-0.35,-0.49,0.84
2.596,0.74,-0.16,-0.42,0.87
2.606,0.85,-0.04,-0.33,0.91
2.616,0.87,-0.01,-0.33,0.93
2.626,0.79,-0.19,0.01,0.81
2.636,0.63,-0.16,0.17,0.68
2.645,0.47,-0.02,-0.34,0.58
2.656,0.28,-0.07,-0.57,0.64
2.666,0.08,-0.18,-0.63,0.66
583.990,-0.05,-0.16,-0.57,0.60
583.990,-0.02,-0.09,-0.33,0.35
583.990,0.08,-0.06,-0.19,0.21
583.991,0.20,-0.09,-0.12,0.25
583.991,0.31,-0.07,-0.14,0.34
583.991,0.37,0.01,-0.22,0.43
583.991,0.36,0.14,-0.39,0.55
583.991,0.33,0.18,-0.64,0.74
583.991,0.27,0.20,-0.60,0.69
583.991,0.22,0.27,-0.42,0.54
583.991,0.22,0.30,-0.21,0.43
583.991,-0.14,0.35,0.02,0.38
583.991,-0.14,0.30,-0.16,0.36
583.991,0.22,-0.20,-0.36,0.47
583.991,0.36,-0.57,-0.55,0.87
583.991,0.57,-0.86,-0.70,1.24
583.991,0.93,-1.11,-0.88,1.69
583.991,0.68,-0.78,-0.66,1.23
583.991,0.45,-0.33,-0.28,0.62
583.991,0.56,-0.20,0.13,0.61
583.991,-0.16,0.30,0.24,0.42
583.991,-0.20,0.37,0.21,0.46
583.991,-0.68,0.59,0.18,0.92
583.991,-0.69,0.96,0.29,1.22
583.991,0.38,0.27,0.15,0.49
583.991,1.04,-0.57,0.10,1.19
583.991,1.01,-1.26,-0.05,1.61
583.991,0.21,-1.12,-0.15,1.14
583.992,0.14,-0.68,-0.41,0.80
583.992,-0.41,-0.10,-0.52,0.67
583.992,-0.71,0.51,0.02,0.87
583.992,-0.10,0.16,0.46,0.50
583.992,0.21,-0.26,-0.23,0.41
583.992,0.69,-0.29,-0.97,1.23
583.992,0.70,-0.01,-0.84,1.09
583.992,0.38,0.13,-0.10,0.41
583.992,-0.07,0.04,0.41,0.42
583.992,0.16,-0.26,0.04,0.30
583.992,0.54,-0.66,-0.50,0.98
583.992,0.06,-0.64,-0.21,0.68
583.992,-0.62,-0.75,0.20,0.99
583.992,-0.72,-0.77,0.89,1.38
583.992,0.02,-0.55,1.63,1.72
583.992,-0.02,-0.08,0.04,0.09
583.992,0.51,-0.15,-1.18,1.29
583.992,1.58,0.28,-1.44,2.15
583.992,2.06,1.53,-1.10,2.79
583.992,0.38,0.88,-0.24,0.98
583.992,-0.33,-0.02,-0.48,0.59
583.992,0.61,-0.04,-0.20,0.64
583.992,-1.61,0.98,-0.19,1.90
583.992,-3.87,1.70,-1.21,4.40
583.992,-3.24,0.67,0.31,3.33
583.992,-1.74,0.38,1.07,2.07
583.992,-0.64,0.53,1.19,1.45
583.992,0.19,0.83,0.07,0.86
583.992,0.96,1.49,-0.63,1.88
583.992,1.33,2.17,-0.68,2.63
583.992,1.54,1.74,-1.03,2.54
583.992,1.77,0.74,-0.90,2.12
583.992,2.36,-0.58,-0.43,2.47
583.992,3.78,-3.43,0.29,5.11
583.992,4.85,-8.39,1.55,9.81
583.992,1.88,-5.95,-0.17,6.24
583.992,-1.16,0.92,-1.63,2.20
583.992,-2.33,3.61,-0.33,4.31
583.992,-1.94,2.57,0.75,3.31
583.992,-1.25,0.06,1.77,2.17
583.992,-0.87,-0.49,1.58,1.87
583.992,1.01,-1.30,0.66,1.78
583.992,1.66,-1.48,0.35,2.25
583.992,0.19,-1.32,0.42,1.40
583.992,0.56,-1.25,0.29,1.39
583.992,1.34,0.29,-0.91,1.64
583.992,1.08,0.39,-1.13,1.61
583.992,0.41,0.94,-0.71,1.25
583.992,0.30,0.72,-0.81,1.12
583.992,0.20,0.88,-1.32,1.59
583.992,-0.32,2.15,-1.47,2.62
583.992,-0.33,2.56,-1.28,2.88
583.992,-0.14,1.95,-0.57,2.04
583.992,0.18,0.93,0.37,1.02
583.992,0.16,-0.23,0.68,0.73
583.992,-0.16,-1.07,0.94,1.43
583.992,-0.30,-1.43,1.40,2.03
583.992,-0.31,-1.35,1.25,1.87
583.992,-0.18,-0.90,0.70,1.15
583.992,0.10,-0.38,0.17,0.43
583.992,0.27,-0.09,-0.07,0.29
583.992,0.31,0.09,-0.25,0.41
583.992,0.38,0.03,-0.28,0.47
583.992,0.45,-0.09,-0.21,0.50
583.992,0.36,-0.10,-0.09,0.39
583.992,0.26,0.03,0.13,0.30
583.992,0.41,0.21,-0.01,0.46
583.992,0.39,0.37,-0.11,0.55
583.992,-0.17,0.60,-0.09,0.63
583.992,-0.43,0.37,-0.08,0.58
583.992,-0.26,-0.02,-0.15,0.30
583.992,-0.09,-0.20,-0.18,0.28
583.992,-0.13,-0.12,-0.01,0.18
583.992,0.20,0.00,0.37,0.42
583.992,0.22,-0.19,0.55,0.63
583.992,0.08,-0.05,0.57,0.58
583.992,0.00,0.19,0.51,0.54
583.992,-0.02,0.39,0.30,0.49
583.992,0.09,0.60,0.09,0.61
583.992,0.11,0.53,-0.03,0.54
583.992,0.11,0.42,0.05,0.43
583.993,0.33,0.33,0.04,0.47
583.993,0.45,0.33,0.01,0.56
583.993,-0.04,0.38,0.07,0.39
583.993,-0.29,0.28,0.16,0.43
583.993,0.09,0.07,0.09,0.15
583.993,0.07,-0.02,0.00,0.07
583.993,-0.05,0.05,0.01,0.07
583.993,0.15,0.12,0.03,0.19
583.993,0.05,0.33,0.17,0.37
583.993,0.06,0.12,0.25,0.29
583.993,-0.03,0.05,0.26,0.27
583.993,-0.05,0.13,0.09,0.16
583.993,-0.07,0.15,0.01,0.17
583.993,-0.09,0.22,0.01,0.23
583.993,0.12,0.20,0.14,0.27
583.993,0.25,0.10,0.17,0.32
583.993,0.08,0.06,0.25,0.27
583.993,-0.26,0.12,0.24,0.37
583.993,-0.29,0.20,0.20,0.40
583.993,-0.13,0.54,0.06,0.56
583.993,-0.00,0.60,0.01,0.60
583.993,0.04,0.64,-0.13,0.65
583.993,0.09,0.64,-0.20,0.68
583.993,0.28,0.40,0.01,0.49
583.993,0.36,0.10,0.29,0.47
583.993,0.16,-0.24,0.52,0.60
583.993,-0.06,-0.29,0.58,0.65
583.993,-0.08,-0.22,0.50,0.55
583.993,-0.21,-0.05,0.34,0.41
583.993,-0.26,0.15,0.12,0.32
583.993,-0.25,0.23,-0.01,0.34
583.993,-0.19,0.32,-0.02,0.37
583.993,0.03,0.25,0.05,0.26
583.993,0.16,0.17,0.18,0.30
583.993,-0.01,0.25,0.14,0.29
583.993,-0.39,0.51,0.04,0.64
583.993,-0.27,0.53,-0.07,0.60
583.993,-0.11,0.53,-0.20,0.57
583.993,0.01,0.42,-0.07,0.42
583.993,-0.24,0.32,0.14,0.42
583.993,-0.29,0.16,0.32,0.46
583.993,-0.25,-0.05,0.58,0.63
583.993,-0.25,-0.23,0.71,0.79
583.993,0.05,-0.31,0.59,0.67
