# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-06-04 10:22:43.221
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.450317,-8.6072,-1.7996,-6.9844,11.23
2.450389,-7.0871,-3.4065,-2.6709,8.30
2.460447,-4.9813,-6.8037,-2.4993,8.79
2.469680,0.3558,-10.2987,-0.2592,10.31
2.478404,6.8964,-14.0939,7.5080,17.39
2.487657,14.1131,-17.4404,19.1028,29.47
2.497076,19.0758,-17.6400,31.1975,40.60
2.506553,20.8065,-17.7131,40.5591,48.91
2.523848,17.8749,-16.2707,36.4009,43.70
2.525518,12.4662,-12.8625,26.3408,31.85
2.537636,7.3989,-9.4503,15.0227,19.23
2.555125,3.2998,-6.4754,7.1468,10.19
2.555407,-0.7704,-2.8522,1.1650,3.18
2.573269,-9.3551,7.6019,-8.7523,14.90
2.586622,-10.3541,10.0319,-13.5067,19.76
2.591635,-9.8359,10.6475,-17.0401,22.37
2.602488,-8.3419,9.0340,-19.4803,23.04
2.614288,-6.4023,6.6943,-20.2769,22.29
2.620090,-6.1113,4.9380,-19.7203,21.23
2.629469,-7.2339,3.7982,-17.8831,19.66
2.639065,-7.5182,2.0560,-14.7670,16.70
2.648474,-7.1825,-0.1514,-10.5597,12.77
2.666342,-4.8648,-2.0507,-5.0628,7.31
2.667291,-1.9975,-4.9128,-0.1497,5.31
2.677383,2.1407,-7.2373,0.8278,7.59
2.687025,6.2947,-8.4130,7.6999,13.03
2.696087,5.9034,-6.2778,9.5407,12.86
2.705659,7.2867,-6.4900,19.5075,21.81
2.715368,6.5905,-4.7781,27.3404,28.53
2.733019,5.7601,-3.3870,22.7227,23.68
2.744633,5.2857,-3.6356,-0.1441,6.42
2.754795,3.4237,-2.1775,-5.8893,7.15
2.762529,1.4847,-0.0383,-7.5346,7.68
2.771655,0.0173,1.5866,-7.6426,7.81
2.781281,-0.8908,2.7135,-7.5190,8.04
2.790242,-1.4204,3.1763,-6.5578,7.42
2.807663,-1.1067,2.6997,-3.9922,4.94
2.809210,-0.1042,1.4869,-2.4019,2.83
2.819461,0.7289,0.5346,-0.9813,1.33
2.829102,1.6027,-0.5955,0.2723,1.73
2.838285,2.5977,-1.5300,1.0295,3.19
2.847419,3.4128,-1.9888,2.1214,4.48
2.856753,3.4771,-2.0072,3.2901,5.19
2.872406,3.2651,-1.7654,3.8836,5.37
2.875924,2.5999,-1.3843,3.8253,4.83
2.886001,1.8832,-0.7615,2.8560,3.50
2.896369,1.3443,-0.2829,1.4171,1.97
2.904262,1.1176,-0.0243,-0.2058,1.14
2.922798,1.1766,0.0545,-2.0047,2.33
2.932225,1.1644,0.0501,-2.0746,2.38
2.947010,1.0649,0.1111,-1.6956,2.01
2.951204,0.7110,0.2263,-1.2167,1.43
2.961053,0.5175,0.2443,-0.6060,0.83
2.971258,0.6018,0.0707,0.1265,0.62
2.980137,0.8130,-0.1221,0.6983,1.08
2.989197,0.7289,-0.2738,1.0262,1.29
2.998421,0.8853,-0.2942,0.9794,1.35
3.015612,1.1047,-0.2912,1.1594,1.63
3.017270,0.9519,-0.2273,0.5019,1.10
3.027999,1.3708,-0.5106,0.9404,1.74
3.037358,1.2403,-0.3795,0.3639,1.35
3.070142,1.4124,-0.5070,0.6914,1.65
