time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
494.238431,-0.1187,-0.032973158270272536,0.0518,-0.00999424026305719,-0.1693,-0.07260478804333939,0.21,0.11749357290559989
494.240807,-0.1186,-0.037150077379039734,0.0956,-0.004843301713639766,-0.0991,-0.07389723740707893,0.18,0.12054266691020477
494.255012,-0.1185,-0.041118366287379256,0.0821,-0.0006021650446817279,0.0282,-0.06891688436283118,0.15,0.12197960998775575
494.271337,-0.1164,-0.04479064110262904,0.0503,0.0018808673965222586,0.1584,-0.05782825585732722,0.2,0.12578548267127987
494.273304,-0.1243,-0.04866914641469592,0.0243,0.0029744836210821484,0.0854,-0.05084151166916492,0.15,0.1269666786385345
494.287467,-0.0916,-0.05076333439446685,0.0222,0.003912313688346433,-0.0065,-0.04867851109993736,0.09,0.12516342602202063
494.303375,-0.0496,-0.050706586375224565,0.0417,0.005755615459646608,-0.0913,-0.0507576081194526,0.11,0.12442374670387328
494.303494,-0.0315,-0.04976967972277459,0.0493,0.007879731778688236,-0.1212,-0.054193822357528086,0.13,0.1246957590597819
494.319396,-0.0324,-0.04892237827288314,0.069,0.01086120827728881,-0.1345,-0.05811119687667306,0.15,0.1259301122763779
494.335308,-0.0411,-0.04854079884493762,-0.0239,0.009165539580835698,-0.184,-0.06425211410220119,0.19,0.12905547265313996
494.335419,-0.049,-0.04856319890128213,-0.0958,0.004045269357380298,-0.2007,-0.07090810853624016,0.23,0.13397959593835265
494.351441,-0.0557,-0.048911335540243975,-0.1396,-0.0029618169527358146,-0.1726,-0.07586868860764308,0.23,0.1386635180877013
494.351561,-0.0673,-0.049808343562671095,-0.1258,-0.008953923442846262,-0.1113,-0.07759704526092877,0.18,0.14067993183952077
494.367551,-0.0671,-0.05065183899863836,-0.0591,-0.01140007351880498,-0.0699,-0.07722157963844443,0.11,0.13918334979856853
494.383907,-0.0882,-0.05248345660846088,0.0509,-0.008361045542277908,-0.0526,-0.07602052697315445,0.11,0.13775977175961396
494.384065,-0.1097,-0.055274507505609125,0.0652,-0.004772701857288741,-0.0382,-0.07417562321836642,0.13,0.13738124630792548
494.400209,-0.0928,-0.057105019334603796,0.0605,-0.0015886676203478263,-0.0718,-0.07405973915893391,0.13,0.1370211855124169
494.400322,-0.0879,-0.05860721351340361,0.0367,0.00027907226357158036,-0.0792,-0.07431048359020542,0.12,0.13619088378010388
494.4168,-0.0759,-0.05945076407372538,0.0392,0.0021776541043729667,-0.0938,-0.07526119170775639,0.13,0.1358888894493671
494.4213,-0.0774,-0.060326336557933895,0.0223,0.0031592319529401393,-0.1605,-0.07941918235615852,0.18,0.13804065093964188
494.435664,-0.0576,-0.060193344530717605,0.003,0.003151464540601596,-0.1743,-0.08404751492415079,0.18,0.1400874484547813
494.451399,-0.057,-0.06003757162678016,-0.009,0.0025587101727673717,-0.1141,-0.08551348980589953,0.13,0.1395953777984505
494.451524,-0.0615,-0.06010890959620552,-0.0256,0.001185114554583597,-0.002,-0.08143966103488004,0.07,0.1362004813204773
494.468288,-0.0528,-0.05975237742078086,-0.0536,-0.0014873300578351152,0.0321,-0.0759011409843981,0.08,0.13345899442679549
494.471549,-0.0609,-0.05980835901001105,-0.0367,-0.0032050212745260856,-0.0644,-0.07534010971686647,0.1,0.13182684835719571
494.48473,-0.0138,-0.05756404881440076,-0.0246,-0.004248678773329691,-0.1198,-0.07750888485262908,0.12,0.1312499289251374
494.500795,0.0247,-0.05355116838442999,-0.027,-0.005358499320972145,-0.1155,-0.07936210998176912,0.12,0.130701151904399
494.504051,0.0164,-0.050138916268116326,-0.0271,-0.00641906032970521,-0.1204,-0.08136395827534136,0.12,0.1301791444944283
494.517049,-0.0037,-0.04787360327942772,-0.0033,-0.006266911045329346,-0.1346,-0.08396083835947105,0.13,0.13017040573860253
494.520491,-0.0308,-0.04704074458287026,0.0252,-0.004731939774825476,-0.1534,-0.08734811453705782,0.16,0.1316255078976951
494.533903,-0.053,-0.047331439969071715,0.0296,-0.003057211005321794,-0.1647,-0.09112137724256719,0.18,0.13398523921975874
494.55014,-0.0584,-0.047871369726677965,0.0071,-0.002561737297745121,-0.1435,-0.09367643201122244,0.16,0.1352542519407461
494.553718,-0.0395,-0.04746301022781563,-0.0291,-0.0038562866978551153,-0.1188,-0.09490197191311402,0.13,0.13499794696802678
494.566455,-0.0517,-0.047669692655727056,-0.0197,-0.004629150761374378,-0.0563,-0.09301894889296211,0.08,0.13231512028665962
494.570485,-0.0616,-0.048349219843252564,-0.0077,-0.004778948285209774,-0.0156,-0.0892424148006225,0.06,0.12878755344340792
494.582259,-0.0691,-0.04936145302163049,0.0211,-0.0035165605639800286,0.0032,-0.08473302871278726,0.07,0.12591986790958312
494.598369,-0.0725,-0.05049016263033143,0.045,-0.0011498990730541736,-0.0186,-0.0815070273121635,0.09,0.12416767923106688
494.602773,-0.0752,-0.051695520550803065,0.0449,0.0010964374670948108,-0.0615,-0.08053107476035065,0.11,0.1234765729271124
494.614416,-0.0851,-0.05332500735320291,0.0399,0.002989294176017015,-0.0993,-0.08144663208911404,0.14,0.12428259375993618
494.630163,-0.0849,-0.05486525089694911,-0.0015,0.002770304216211307,-0.1647,-0.08550777198720604,0.19,0.12748832089359782
494.636215,-0.0705,-0.055627921584902804,-0.0163,0.0018400454739570969,-0.154,-0.08884885628051306,0.17,0.12956206133781256
494.646261,-0.075,-0.056572901019785585,0.0311,0.0032673603288860186,-0.1553,-0.09209037548634168,0.18,0.13202244858962658
494.652938,-0.1034,-0.05885714975052775,0.0762,0.0068250500689403595,-0.147,-0.09476889375530062,0.2,0.13533842670720578
494.662502,-0.0839,-0.060078752201721514,0.1094,0.01182870616313839,-0.096,-0.0948289477184567,0.17,0.13702923516051282
494.678506,-0.0741,-0.06076271550895461,0.0374,0.01307608635030237,-0.0452,-0.09240802343950758,0.09,0.1347351261282927
494.694547,-0.0953,-0.062447461093883654,-0.0059,0.012150423601507131,-0.0831,-0.09195397351562914,0.13,0.13450414436593694
494.694675,-0.0899,-0.0637866093332064,-0.0133,0.010908939523384831,-0.1542,-0.09499036505145211,0.18,0.13672345439686684
494.710581,-0.0442,-0.06283116497548902,-0.0229,0.009259722961268497,-0.13,-0.09669815212211298,0.14,0.1368832858897026
494.710719,0.0438,-0.05762964473278224,-0.0154,0.008056809646084667,-0.0088,-0.09241043738444893,0.05,0.13264507682191223
494.727248,0.0596,-0.051911125477524564,-0.0197,0.0067028189316415115,0.0807,-0.08396602580471971,0.1,0.13105263405011164
494.731224,0.0393,-0.04746180228349898,-0.0362,0.0046099984959516805,0.0774,-0.07609451235083094,0.09,0.12905006653547205
494.74442,-0.0216,-0.04620025095259659,-0.0386,0.0025021936912711104,-0.021,-0.07340697516298553,0.05,0.12519396572886365
494.759831,-0.0864,-0.048161214320762605,-0.0049,0.002141111072184715,-0.1248,-0.0759139519843033,0.15,0.12640401618111421
494.760718,-0.1139,-0.05136798435389613,0.0408,0.0040269105320781436,-0.1568,-0.07985961286311777,0.2,0.12999406417227938
494.776437,-0.1339,-0.05539393633663291,0.0651,0.0070060856280743326,-0.1697,-0.08424207077223397,0.23,0.1348724025053389
494.79167,-0.1395,-0.05949667114948008,0.0586,0.009522861938899974,-0.1428,-0.08709855512480792,0.21,0.138537163358737
494.792376,-0.1468,-0.06375537011779812,0.0303,0.010536380868709732,-0.0408,-0.08484008902115876,0.16,0.13958413099977424
494.807099,-0.1254,-0.0667624252340031,0.0043,0.010232167167797061,0.0613,-0.07771130419085832,0.14,0.13960441729246817
494.82193,-0.1023,-0.06849596546649075,-0.0697,0.006333037062050862,0.0989,-0.06909611862057255,0.16,0.1405993237660063
494.824956,-0.0719,-0.06866201593153998,-0.0939,0.0014436206199996,-0.0108,-0.06625240551712999,0.12,0.1395944787042499
494.838866,-0.0489,-0.06769801515439168,-0.1134,-0.004158507215122332,-0.1181,-0.06878155646751388,0.17,0.1410776748650182
494.841252,-0.0071,-0.06474201441515307,-0.1471,-0.011131262960726121,-0.1728,-0.0738556268837327,0.23,0.1454153492618466
494.85586,0.0203,-0.06059362346807243,-0.1546,-0.018129737938251674,-0.1941,-0.07972120606013598,0.25,0.15051703954175652
494.872132,0.0279,-0.05627686134767865,-0.0376,-0.01907950681931257,-0.1554,-0.0834128545450074,0.16,0.150979622978744
494.874795,-0.0084,-0.053941404696572375,0.1205,-0.012270750389102197,-0.1077,-0.08459759334768996,0.16,0.15141964137002478
494.891019,-0.0827,-0.05534426300405665,0.2858,0.002269286215244252,-0.0435,-0.08259283269658313,0.3,0.15866746374221868
494.89176,-0.1255,-0.05876649407702949,0.3844,0.020909808838890875,-0.018,-0.07944196280894493,0.4,0.17043978258406167
494.906336,-0.1682,-0.06410471387815,0.3703,0.037953232797969375,-0.0163,-0.07636186706216713,0.41,0.18212564684825377
494.922231,-0.1455,-0.06807521564019146,-0.0386,0.03421892875904404,-0.101,-0.07756372720547605,0.18,0.18202195675809504
494.923638,-0.0949,-0.06938374170652359,-0.2181,0.021910688331773592,-0.1178,-0.07952647221984306,0.27,0.18631356862355383
494.93799,-0.047,-0.06829185186718097,-0.3066,0.005885776705833417,-0.1155,-0.08128127845302145,0.33,0.19332266283703903
494.940335,-0.027,-0.06627761519073311,-0.2494,-0.0065671880115243135,-0.1123,-0.08279438682116674,0.27,0.19706302074742738
494.954129,-0.0618,-0.06605919493752661,-0.161,-0.014100495913401175,-0.1355,-0.08536539234208544,0.22,0.19818189778413822
494.970249,-0.1376,-0.06954899030642775,-0.0496,-0.015832179039576726,-0.2425,-0.09303049515466663,0.28,0.20217302472149734
494.986146,-0.1495,-0.07344903955977272,-0.007,-0.015401341037646153,-0.2048,-0.09848266612273167,0.25,0.20450604790581456
494.98627,-0.1469,-0.0770320132397838,0.0335,-0.013015909767517072,-0.0936,-0.09824448728747645,0.18,0.2033106309347992
495.002307,-0.14,-0.08010362235003825,0.0529,-0.009800499534955263,0.0451,-0.09125207327345321,0.16,0.20119791723066266
495.002424,-0.1184,-0.0819717383329632,0.0754,-0.0056443776064208605,0.1052,-0.0816690453088945,0.18,0.2001638724877035
495.01845,-0.1328,-0.08445116573135523,0.0403,-0.0034031884548881355,0.0124,-0.07708031139138745,0.14,0.19722904943952285
495.0344,-0.0643,-0.08346818203714279,-0.021,-0.004261569505869202,-0.1504,-0.08065688156741732,0.16,0.195412998247351
495.034588,-0.0028,-0.07953314876703826,-0.0542,-0.0066975905055829,-0.1682,-0.08492727758851891,0.18,0.1946611446743095
495.0505,0.0657,-0.07244860492474371,-0.0443,-0.008531854383359343,-0.1475,-0.08797960551103018,0.17,0.19345816200727
495.050588,0.0727,-0.06536818517231718,-0.0254,-0.009354690754902788,-0.0896,-0.08805864914463846,0.12,0.18987483703130562
495.066661,0.0461,-0.05993071272488707,-0.0134,-0.009552022913200214,-0.0465,-0.08603139796685122,0.07,0.18402728400538826
495.08273,-0.0165,-0.05781214137245355,-0.0305,-0.010573875454019714,-0.0387,-0.0837225492855414,0.05,0.17748936771244248
495.082847,-0.0527,-0.05756276862257777,-0.0161,-0.010843442505043141,-0.0676,-0.08293608346673449,0.09,0.1732215936776892
495.09887,-0.0816,-0.058735316494647145,0.0126,-0.009699859943821523,-0.0844,-0.0830074940293328,0.12,0.1706254183763385
495.114903,-0.1026,-0.060875057153444836,0.0988,-0.00440718384900096,0.0091,-0.07851444554009704,0.14,0.16913149552871223
495.115028,-0.1144,-0.06348602997522801,0.1421,0.002739508046072258,0.0304,-0.07320154575765328,0.18,0.16966166647853115
495.130964,-0.1094,-0.06572573583009493,0.1181,0.008366849116995562,0.033,-0.06802098254996287,0.16,0.16919036567470036
495.13107,-0.0949,-0.06714887066765127,0.0747,0.011602612574703096,0.0122,-0.06410776388898907,0.12,0.16679083564178815
495.147171,-0.0828,-0.06791234039118048,0.0047,0.011265899766180993,-0.0153,-0.061726897357818875,0.08,0.1625571363421887
495.163725,-0.0811,-0.06855564085990337,-0.1213,0.004799270509294114,-0.1052,-0.063847536511096,0.18,0.16340800774013073
495.163857,-0.093,-0.06974804862283492,-0.1079,-0.0006982548814031594,-0.1271,-0.06693302253494497,0.19,0.16470517809427068
495.18392,-0.1048,-0.07145789990952589,-0.0776,-0.004449559521334713,-0.1106,-0.06906311899665497,0.17,0.1649634620896721
495.184235,-0.1046,-0.07307458771881731,-0.0306,-0.005725190764196434,-0.1156,-0.0713332107529157,0.16,0.16472134198773689
495.200654,-0.1208,-0.0754026566105823,0.0684,-0.0021093278000892906,-0.1145,-0.07343890778935884,0.18,0.165466642378579
495.205188,-0.1016,-0.07668057580030999,0.0822,0.002003322336500431,-0.0652,-0.0730370098484145,0.15,0.16471217201864832
495.21713,-0.0837,-0.07702298673688023,0.0552,0.0045982822225248,-0.0204,-0.07046935083141867,0.1,0.16155548070066547
495.221563,-0.0805,-0.07719259713995924,0.0116,0.004939829431182127,0.0051,-0.0667830410347641,0.08,0.15757716456892568
495.233219,-0.0966,-0.07813929971849781,-0.0226,0.003596423117465926,-0.0458,-0.06575947805745853,0.11,0.15525632727288052
