time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
0.636536,-0.393,0.18469459762939622,-0.2513,-0.16917957957892227,-0.4043,-0.08619448813795455,0.62,0.6386105308997917
0.645979,-0.9431,0.1296802270133281,-0.0488,-0.1633074049653163,-0.3076,-0.09699475700927385,0.99,0.655751480611997
0.655101,-1.8774,0.03177387447609256,0.3193,-0.13976558033286182,-0.1877,-0.10141940300882146,1.91,0.7169343352162897
0.664307,-2.0285,-0.06872729013249734,0.4795,-0.10955750324345392,0.4673,-0.07367699310595212,2.14,0.7863521725228121
0.680266,-0.1692,-0.07362839793091211,-0.0726,-0.10775469820718787,1.4057,-0.001512261734930062,1.42,0.8172618226436504
0.690076,0.3144,-0.05470018339769688,-0.1406,-0.10935690805073968,1.4229,0.06797126322774945,1.46,0.8486149044659113
0.699993,0.4775,-0.028739198841711666,-0.1073,-0.10925657107265482,1.0631,0.1165141284361519,1.17,0.8642922261992814
0.708843,0.4288,-0.006420213532359876,-0.1427,-0.11088795784959848,0.558,0.13805002460999816,0.72,0.8572535810188286
0.718214,1.3185,0.05821004078629183,-0.3596,-0.12302025258864246,0.1448,0.13837929170219335,1.37,0.8822656014569346
0.736313,1.8773,0.14694613635769221,-0.3182,-0.13254121587700138,-0.2677,0.118570545765501,1.92,0.932886791629767
0.73703,1.4832,0.212129251657317,-0.2199,-0.13680261998056228,-0.584,0.08429881182572045,1.61,0.9659167042331929
0.754323,0.4942,0.22588880035696007,-0.264,-0.1430073702254129,-0.8027,0.04103057710251457,0.98,0.9666036942705981
0.756231,-0.0948,0.2102454442419864,-0.2677,-0.1490899375314903,-0.9048,-0.005107499829315416,0.95,0.9657937579647152
0.766099,-0.491,0.1760383494009139,-0.2379,-0.15342213570068589,-0.8702,-0.04730713398398296,1.03,0.9689257697713145
0.775187,-0.6893,0.1338267226008693,-0.2086,-0.15611373883723778,-0.6476,-0.07658971281403257,0.97,0.9689781712458845
0.784568,-0.6036,0.09785468735204642,-0.3415,-0.16515697108907984,1.0571,-0.02128777560359195,1.26,0.9831743580143779
0.803417,-1.1342,0.037754458700727064,0.4767,-0.133846874938393,-0.8698,-0.06267861581805088,1.51,1.0088731698185545
0.81916,-1.2405,-0.02459941733345474,0.4307,-0.1063080029901787,-0.9259,-0.1047869760220484,1.61,1.0381964298274053
0.827465,-0.4701,-0.04633115307328622,-0.0451,-0.10332224674675534,-0.4148,-0.11990956255755822,0.63,1.0182844088602148
0.837032,-0.1209,-0.0499686578014186,-0.2151,-0.10877482007618192,-0.7608,-0.1511725107254822,0.8,1.007636388915814
0.84666,-0.0681,-0.05085311351842257,-0.3175,-0.1189565361700267,-1.1523,-0.200007998007166,1.2,1.0170199797004085
0.856152,0.1346,-0.04180662017606049,-0.7075,-0.1476659734300254,-0.7525,-0.2269588273726701,1.04,1.0181409563003885
0.865528,-0.5774,-0.06793312650893558,-0.6319,-0.17128714545782903,-0.6894,-0.24951693335449104,1.1,1.0221340803832963
0.87494,-1.2577,-0.12597053497191435,-0.0867,-0.16716094324037392,-0.975,-0.2849063512396378,1.59,1.0498348569499647
0.884475,-1.5099,-0.1934792893635283,0.0958,-0.15433358015547763,-0.1802,-0.2797987243498994,1.52,1.0727697419767956
0.893706,-1.4972,-0.25707542158969765,0.0649,-0.1436392591722836,0.5335,-0.24012561584502626,1.59,1.0980004862706105
0.903179,-0.9801,-0.2923449132194685,-0.0393,-0.13854953921266,0.9632,-0.18142680531600058,1.37,1.1112687552330198
0.912413,0.1595,-0.27030369794047,-0.1369,-0.13846907388521318,0.9596,-0.12576696115424446,0.98,1.104865401319214
0.921849,0.8349,-0.21639132243117876,0.0145,-0.13100716784203204,0.6783,-0.08654418256135447,1.08,1.1036524549133988
0.931349,0.9817,-0.15794784328819442,0.2338,-0.11321169623998169,0.6284,-0.05166885658275182,1.19,1.1078645302834769
0.940618,0.7745,-0.11246258263998979,0.4619,-0.08515746715510453,0.6768,-0.016133790407983434,1.13,1.108944309294039
0.950419,-0.1575,-0.11465952982828297,0.8852,-0.0378229565621726,1.0419,0.03547761400216211,1.38,1.1221665381089638
0.954822,-1.3052,-0.1727346747147082,1.3169,0.028261090099396792,1.5167,0.10773236453864199,2.4,1.1844998777134044
0.96666,-2.1091,-0.2671915198505761,1.6929,0.10946298814332867,2.6071,0.22965273700017164,3.76,1.3101340300200675
0.983287,-4.3718,-0.4674163237603041,0.4585,0.1264891838436541,4.6528,0.4454160181221145,6.4,1.5584201748971374
0.992651,-4.6819,-0.6730008933329722,1.4173,0.1894555651195734,5.3978,0.6869957245551821,7.28,1.837521629780204
1.002228,-6.6943,-0.9667228009752662,3.6007,0.35585773267471615,3.4117,0.819908128235417,8.33,2.154227891742145
1.018887,-7.9527,-1.3075021765374484,5.5592,0.6096793066905837,-0.8368,0.7390930975897869,9.74,2.524265555559601
1.021141,-8.2443,-1.645882558169768,7.5729,0.9493486088032381,-2.3797,0.5869568489268704,11.44,2.9591794308981574
